features,fch_gut
X100.075_2.49,0.70542731
X1098.192_2.47,0.18566489
X110.008_0.29,3.5015948
X119.085_2.81,0.31117172
X120.065_0.32,1.22759701
X129.138_0.29,1.68699926
X135.002_0.28,1.46649108
X135.08_2.81,0
X147.076_0.33,1.15825023
X154.058_0.27,1.87788428
X162.112_0.25,1.95145245
X163.075_2.63,0.03779556
X169.058_0.29,1.3141926
X171.148_2.46,0.16084669
X190.09_2.11,0.45586238
X206.055_0.27,1.71993873
X207.014_0.25,1.56105947
X208.063_0.38,1.12771983
X209.189_2.83,0.33904662
X230.174_2.51,0.51678327
X230.247_2.72,18.4221915
X237.111_2.86,0.10604418
X239.127_2.63,0.06677329
X243.182_0.25,1.41277033
X245.138_2.34,0
X247.041_0.31,0.60707402
X255.231_2.93,0.19885671
X256.262_3.17,0.66613965
X260.167_2.68,0.18910461
X261.057_0.32,0.28334797
X261.109_2.63,0.11445179
X262.111_2.18,0.60471038
X263.236_3.47,0
X266.16_2.08,0.58128186
X266.171_2.58,0.66694412
X269.136_2.4,0.01787924
X272.257_3.01,1.37828787
X274.182_2.75,0.07621039
X283.018_0.39,0.78071428
X285.13_2.34,0
X290.141_2.4,0.06791868
X293.21_2.54,0
X293.246_3.29,0.01016807
X302.213_2.9,0.21412981
X304.283_2.71,1.92960939
X307.043_0.28,3.37275781
X309.241_3.15,0
X310.309_3.34,0.59660502
X311.22_2.89,0
X311.256_3.22,0
X313.236_2.67,0.36369461
X313.272_3.16,0
X330.244_3.06,0.28226698
X332.218_2.21,0.09323226
X337.234_2.8,0.25458878
X337.272_3.15,0.01045991
X339.267_2.82,0.24401344
X343.294_2.66,35.8385908
X346.09_0.42,1.66079178
X346.198_2.19,1.17338103
X349.198_2.73,0.0392751
X352.289_4.14,0
X353.23_2.48,Inf
X353.23_2.61,0.54231095
X359.235_2.97,0.03921684
X360.201_1.99,0.75439967
X366.688_2.08,3.29707707
X369.409_2.01,Inf
X372.218_2.16,0
X373.272_2.67,1.23280089
X376.317_3.23,0
X380.216_2.16,0.15782307
X392.13_0.43,0.7877937
X399.249_3.02,0.40321104
X399.306_3.14,0.61737711
X400.34_2.9,1.82912236
X409.293_2.7,Inf
X412.434_1.99,Inf
X415.21_2.81,0.32584397
X422.382_3.14,1.58851944
X423.234_2.64,0
X424.281_2.66,9.64558628
X426.356_2.92,1.54718164
X427.107_0.39,Inf
X432.236_2.81,0.26529021
X458.585_2.13,6.90260133
X460.798_2.98,0.89166403
X472.756_2.08,5.73249245
X480.201_2.34,2.97531193
X487.359_3.13,0.13270128
X502.759_2.14,Inf
X509.334_2.83,0.48921676
X522.282_5.67,0.11359642
X547.766_2.2,0.34200275
X548.538_4.3,5.92989989
X550.518_3.4,0.02330664
X554.174_3.42,0
X574.429_3.03,2.06368797
X594.58_4.61,3.78105336
X628.192_3.63,0
X650.642_3.47,0
X663.739_2.42,14.6618061
X672.419_3.07,0.474103
X672.419_3.22,0.19759911
X692.088_2.42,1.07286956
X700.45_3.2,0.29324693
X706.499_3.26,0
X714.726_2.32,0.27993508
X746.603_3.31,0.64482021
X750.54_5.56,Inf
X756.207_2.47,1.1460482
X756.548_3.24,0.22693959
X763.197_2.41,0.87494964
X768.586_4.31,Inf
X778.534_3.59,0
X785.59_2.81,0.0769691
X793.867_5.94,Inf
X829.481_2.8,0
X835.964_2.48,6.38902589
X848.107_2.42,1.53908665
X933.901_2.47,1.02565676
X948.648_2.58,0
