features,fch_gut,M/Z,RT,Annotation,Cosine.Score,No..of.Shared.Peaks,Mass.Diff..to.Library.Reference,ppm.error,Cluster Index,Analog?,Nearest Neighbors,Proximity
X100.075_2.49,0.70542731,100.075,2.49,NA,NA,NA,NA,NA,618,No,Self-Loop,Self-Loop
X1098.192_2.47,0.18566489,1098.192,2.47,NA,NA,NA,NA,NA,2923,No,Self-Loop,Self-Loop
X110.008_0.29,3.5015948,110.008,0.29,NA,NA,NA,NA,NA,1300,No,Self-Loop,Self-Loop
X119.085_2.81,0.31117172,119.085,2.81,Spectral Match to Amantadine from NIST14,0.726955,4,16.0319,118652,2148,Yes,Self-Loop,Self-Loop
X120.065_0.32,1.22759701,120.065,0.32,Bovinocidin (3-Nitropropionic Acid),0.75047,4,0.0366974,305.738,1007,Yes,NA,None
X129.138_0.29,1.68699926,129.138,0.29,"Massbank:PB000490 Spermine|N,N'-bis(3-aminopropyl)butane-1,4-diamine",0.86748,4,74.0854,364550,1192,Yes,"Massbank:AU341002 Diuron|3-(3,4-dichlorophenyl)-1,1-dimethylurea",First Analog
X135.002_0.28,1.46649108,135.002,0.28,NA,NA,NA,NA,NA,1893,No,Self-Loop,Self-Loop
X135.08_2.81,0,135.08,2.81,Spectral Match to .alpha.-Pinene oxide from NIST14,0.958212,6,0.036911,273.178,2175,Yes,Self-Loop,Self-Loop
X147.076_0.33,1.15825023,147.076,0.33,Massbank:RP001302 L-Glutamine|(2S)-5-amino-2-azaniumyl-5-oxopentanoate,0.861681,4,0.000198364,1.34872,958,No,Massbank:RP001402 L-Glutamic acid|(2S)-2-azaniumyl-5-hydroxy-5-oxopentanoate,First
X154.058_0.27,1.87788428,154.058,0.27,NA,NA,NA,NA,NA,1512,No,Self-Loop,Self-Loop
X162.112_0.25,1.95145245,162.112,0.25,L-CARNITINE,0.962354,5,0.000305176,1.8825,971,No,Spectral Match to Nicotinic acid from NIST14,First Analog
X163.075_2.63,0.03779556,163.075,2.63,NCGC00170025-02!N-(1-hydroxy-3-phenylpropan-2-yl)benzamide [IIN-based: Match],0.705146,4,93.0585,363320,1366,Yes,"Massbank:LU019401 4-Methylphthalic anhydride|5-methyl-2-benzofuran-1,3-dione",First
X169.058_0.29,1.3141926,169.058,0.29,NA,NA,NA,NA,NA,1180,No,Self-Loop,Self-Loop
X171.148_2.46,0.16084669,171.148,2.46,Massbank:LU068806 1-Cyclohexylpyrrolidin-2-one|N-Cyclohexyl-2-pyrrolidone,0.857081,4,3.011,17907.9,2232,Yes,NA,None
X190.09_2.11,0.45586238,190.09,2.11,NA,NA,NA,NA,NA,2194,No,NA,None
X206.055_0.27,1.71993873,206.055,0.27,PHOSPHOCHOLINE CHLORIDE - 50.00 eV,0.872122,4,21.982,119420,1156,Yes,PHOSPHORYLCHOLINE,First
X207.014_0.25,1.56105947,207.014,0.25,NA,NA,NA,NA,NA,1371,No,4-methylumbelliferyl acetate,Second Analog
X208.063_0.38,1.12771983,208.063,0.38,NA,NA,NA,NA,NA,2193,No,Self-Loop,Self-Loop
X209.189_2.83,0.33904662,209.189,2.83,"Spectral Match to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol from NIST14",0.95198,9,0.00050354,2.40709,1307,No,Self-Loop,Self-Loop
X230.174_2.51,0.51678327,230.174,2.51,Spectral Match to Dodecanedioic acid from NIST14,0.863367,8,17.0256,79876.5,1723,Yes,Spectral Match to Dodecanedioic acid from NIST14,First Analog
X230.247_2.72,18.4221915,230.247,2.72,"MassbankEU:SM876801 N,N-Dimethyldodecylamine N-oxide|Lauramine oxide|N,N-dimethyldodecan-1-amine oxide",0.96713,6,0.000701904,3.04847,1024,No,"Massbank:LU068404 N,N-Dimethyldecylamine oxide|1-Decanamine, N,N-dimethyl-, N-oxide|N,N-dimethyldecan-1-amine oxide",First Analog
X237.111_2.86,0.10604418,237.111,2.86,Massbank:EQ357803 Aspirin|Acetyl salicilic acid|2-acetyloxybenzoic acid,0.903778,6,56.0625,309654,2238,Yes,MassbankEU:SM823305 Monoisobutyl phthalate|Isobutyl hydrogen phthalate|2-(2-methylpropoxycarbonyl)benzoic acid,First
X239.127_2.63,0.06677329,239.127,2.63,Spectral Match to Tri(propylene glycol) butyl ether from NIST14,0.718476,5,10.0788,40443.6,1375,Yes,Self-Loop,Self-Loop
X243.182_0.25,1.41277033,243.182,0.25,NA,NA,NA,NA,NA,1299,No,4-methylumbelliferyl acetate,First Analog
X245.138_2.34,0,245.138,2.34,"9-(2,3-dihydroxypropoxy)-9-oxononanoic acid",0.862385,9,18.0106,68442.6,1381,Yes,Self-Loop,Self-Loop
X247.041_0.31,0.60707402,247.041,0.31,NA,NA,NA,NA,NA,1260,No,Self-Loop,Self-Loop
X255.231_2.93,0.19885671,255.231,2.93,Spectral Match to Palmitelaidic acid from NIST14,0.806584,9,0.000991821,3.88596,2176,No,Spectral Match to Elaidic acid from NIST14,First
X256.262_3.17,0.66613965,256.262,3.17,Spectral Match to Palmitamide from NIST14,0.829979,6,0.00131226,5.12072,1113,No,Spectral Match to Lauric acid leelamide from NIST14,First
X260.167_2.68,0.18910461,260.167,2.68,NA,NA,NA,NA,NA,2171,No,"14-hydroxy-14-(hydroxymethyl)-5,9-dimethyltetracyclo[11.2.1.0,?.0?,?]hexadecane-5-carboxylic acid",Second Analog
X261.057_0.32,0.28334797,261.057,0.32,HMDB:HMDB01078-1419 Mannose 6-phosphate,0.780821,5,0.0195007,74.7046,1436,No,Massbank:PR100335 D-Mannose-6-phosphate|Man-6P|6-phosphono-D-mannopyranose,First
X261.109_2.63,0.11445179,261.109,2.63,NA,NA,NA,NA,NA,1132,No,Self-Loop,Self-Loop
X262.111_2.18,0.60471038,262.111,2.18,NA,NA,NA,NA,NA,2181,No,Self-Loop,Self-Loop
X263.236_3.47,0,263.236,3.47,"Spectral Match to 9Z,11E,13E-Octadecatrienoic acid methyl ester from NIST14",0.822962,5,30.011,102340,2203,Yes,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",First Analog
X266.16_2.08,0.58128186,266.16,2.08,NA,NA,NA,NA,NA,2315,No,Self-Loop,Self-Loop
X266.171_2.58,0.66694412,266.171,2.58,NA,NA,NA,NA,NA,999,No,Self-Loop,Self-Loop
X269.136_2.4,0.01787924,269.136,2.4,NA,NA,NA,NA,NA,1245,No,Self-Loop,Self-Loop
X272.257_3.01,1.37828787,272.257,3.01,NA,NA,NA,NA,NA,1125,No,Self-Loop,Self-Loop
